Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
powiat;gmina;powierzchnia;gestosc;populacja;0-4;5-9;10-14;15-19;suma_U19;wydatki;przystanki;Średni wynik
powiat wadowicki;gmina Kalwaria Zebrzydowska;75;263.3;19748;906;1139;1154;1083;4282;71842830.86;109;55,85279822
powiat wadowicki;gmina Lanckorona;40;154.6;6184;265;361;383;395;1404;18751232.08;46;40,55555556
powiat wadowicki;gmina Mucharz;37;112.3;4155;173;256;281;228;938;18192095.94;22;65,61981456
powiat wadowicki;gmina Spytkowice;52;195.5;10166;497;602;585;571;2255;24992649.93;68;60,8944643
powiat wadowicki;gmina Stryszów;46;147.3;6776;260;370;426;387;1443;22386161.17;41;63,6800641
powiat wadowicki;gmina Tomice;42;200.2;8408;384;560;583;501;2028;30210913.57;41;57,96151542
powiat wadowicki;gmina Wadowice;113;321.4;36318;1461;1902;1956;2046;7365;107548611.72;101;56,47074476
powiat wadowicki;gmina Wieprz;75;172.4;12930;713;883;824;785;3205;38408064.96;12;64,90313391
powiat wielicki;gmina Biskupice;41;290.0;11890;538;827;897;751;3013;37477672.74;153;65,29384133
powiat wielicki;gmina Gdów;109;172.0;18748;952;1186;1201;1110;4449;56821212.42;228;62,49470899
powiat wielicki;gmina Kłaj;65;173.8;11297;508;632;669;630;2439;30743413.3;106;61,96768465
powiat wielicki;gmina Niepołomice;96;348.9;33494;1933;2508;2232;1885;8558;121783925.21;246;61,01885648
powiat wielicki;gmina Wieliczka;100;700.2;70020;3527;4641;4446;4009;16623;256830849.7;372;60,92169421
Kraków;Kraków;327;2475.7;809554;38822;39344;34272;32886;145324;3274563212.93;2046;55,05466604
Nowy Sącz;Nowy Sącz;58;1385.8;80376;3375;4209;4399;4706;16689;401423813.88;397;61,29651175
Tarnów;Tarnów;72;1411.1;101599;3322;4455;4578;4922;17277;477795797.18;376;64,22995549

